"particle_id","sample_id","max_cor_val","bad_spectra","material_class","area_um2","perimeter_um","max_length_um","min_length_um","aspect_ratio","circularity","centroid_x","centroid_y","first_x","first_y","acc_analy_conf","max_cor_name","mean_snr","r","g","b","count","mean_length","size_class","client_id","sample_prop","Client_ID_MSSupdate","sample_type","material_simple","sample_or_blank","sample_location","sample_depth_general","date_raw","date","shape","length_um","width_um","polymer_density_group","density_g_cm3","density_source_note","buoyancy_freshwater","buoyancy_marine","r_med","height_um","V_um3","mass_ug","mass_ug_fixed_density_1.1"
350,"MBMS_02_07DEC23_PreDS_1of1_lft",0.648491391,TRUE,"poly(propylene)",1875,85.35533906,60.35533906,31.06601718,1.942809042,0.309207662,991.6666667,8033.333333,975,8025,"confident","dfae3b1664eee9371630f71bcd6979fb",0.007287287,102,104,103,1,45.71067812,"<212 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fragment",60.35533906,31.06601718,"polypropylene",0.9,"TODO(cite): polymer density handbook/default table","buoyant","buoyant",0.5,15.53300859,15249.4955244389,13724.5459719951,16774.4450768828
109,"MBMS_02_07DEC23_PreDS_1of1_lft",0.629537098,TRUE,"poly(propylene)",6875,251.6123776,131.0660172,52.4544817,2.498661943,0.73279321,6104.545455,9490.909091,6075,9450,"confident","d90d8f2ecc800ec3ac907f5d6e4e1f8f",0.007125072,127,130,135,1,91.76024944,"<212 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fragment",131.0660172,52.4544817,"polypropylene",0.9,"TODO(cite): polymer density handbook/default table","buoyant","buoyant",0.5,26.22724085,94411.2894848644,84970.160536378,103852.418433351
290,"MBMS_02_07DEC23_PreDS_1of1_lft",0.62979612,TRUE,"poly(propylene)",1250,50,50,25,2,0.159154943,2200,12762.5,2200,12750,"confident","65c63f6893bc69eb258cbe46650d8834",0.006266826,89,90,92,1,37.5,"<212 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fragment",50,25,"polypropylene",0.9,"TODO(cite): polymer density handbook/default table","buoyant","buoyant",0.5,12.5,8181.23086872342,7363.10778185108,8999.35395559576
25,"MBMS_02_07DEC23_PreDS_1of1_rt",0.633090266,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",15000,437.4618376,200,75,2.666666667,1.015264551,6366.666667,10958.33333,6375,10900,"confident","efa809db82b5581d1d225f43f59edae4",0.00792153,128,131,136,1,137.5,"<212 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fragment",200,75,"styrenic polymers",1.05,"TODO(cite): polymer density handbook/default table","settling","settling",0.5,37.5,294524.311274043,309250.526837745,323976.742401447
260,"MBMS_02_07DEC23_PreDS_1of1_rt",0.632328088,TRUE,"poly(propylene)",32500,986.8168038,400,81.25,4.923076923,2.384404031,445.1923077,11668.26923,475,11500,"confident","d90d8f2ecc800ec3ac907f5d6e4e1f8f",0.007259982,129,133,132,1,240.625,"212-500 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fiber",400,81.25,"polypropylene",0.9,"TODO(cite): polymer density handbook/default table","buoyant","buoyant",0.286474508437567,23.2760538105524,2073942.02522139,1866547.82269925,2281336.22774353
175,"MBMS_02_07DEC23_PreDS_1of1_rt",0.646708416,TRUE,"poly(esters/ethers/diglycidylethers/terephthalates)s",171875,1919.208064,786.9875327,218.39609,3.603487282,1.705381487,1890.545455,12166.72727,1850,11900,"confident","6b1c34973198a78adadce1f6956c47a4",0.014021543,113,117,116,1,502.6918113,">500 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fiber",786.9875327,218.39609,"polyester/PET",1.38,"TODO(cite): polymer density handbook/default table","settling","settling",0.286474508437567,62.5649125274367,29481355.749926,40684270.9348979,32429491.3249186
236,"MBMS_02_07DEC23_PreDS_1of1_rt",0.632474019,TRUE,"poly(propylene)",2500,100,60.35533906,41.42135624,1.457106781,0.318309886,987.5,12912.5,975,12900,"confident","cce3572892bb27fca9f7cffdcf5fda00",0.00692289,121,123,122,1,50.88834765,"<212 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fragment",60.35533906,41.42135624,"polypropylene",0.9,"TODO(cite): polymer density handbook/default table","buoyant","buoyant",0.5,20.71067812,27110.2142656692,24399.1928391023,29821.2356922362
147,"MBMS_04_07DEC23_PreDS_1of3_lft",0.631280243,TRUE,"poly(ethylene)",5625,216.2570385,115.1387819,48.85408641,2.356789172,0.661619218,2600,11083.33333,2600,11050,"confident","c30c4e0ba4cedc0cebe6f8ce319f6f95",0.007964143,108,108,106,1,81.99643415,"<212 µm",4,1,"CRR20231207SD_2","river water","plastic","sample","Carmel","subsurface","20231207",2023-12-07,"fragment",115.1387819,48.85408641,"polyethylene",0.94,"TODO(cite): polymer density handbook/default table","buoyant","buoyant",0.5,24.427043205,71943.5807652231,67626.9659193097,79137.9388417454
110,"MBMS_04_07DEC23_PreDS_1of3_rt",0.654226125,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",3750,150,80.90169944,46.35254916,1.745355992,0.477464829,1450,6812.5,1425,6800,"confident","4cc9914d6498f5952a2dfaff98f521d0",0.008137772,117,116,112,1,63.6271243,"<212 µm",4,1,"CRR20231207SD_2","river water","plastic","sample","Carmel","subsurface","20231207",2023-12-07,"fragment",80.90169944,46.35254916,"styrenic polymers",1.05,"TODO(cite): polymer density handbook/default table","settling","settling",0.5,23.17627458,45506.5087289159,47781.8341653617,50057.1596018075
145,"MBMS_04_07DEC23_PreDS_3of3_lft",0.651701433,TRUE,"poly(ethylene)",7500,256.0660172,128.0776406,58.55823048,2.187184271,0.695717241,1847.916667,5104.166667,1850,5050,"confident","bacedecf1bd7ea5967ad14752213dbdc",0.010377762,95,98,103,1,93.31793556,"<212 µm",4,1,"CRR20231207SD_2","river water","plastic","sample","Carmel","subsurface","20231207",2023-12-07,"fragment",128.0776406,58.55823048,"polyethylene",0.94,"TODO(cite): polymer density handbook/default table","buoyant","buoyant",0.5,29.27911524,114978.816640036,108080.087641633,126476.698304039
164,"MBMS_04_07DEC23_PreDS_3of3_lft",0.659122004,TRUE,"poly(esters/ethers/diglycidylethers/terephthalates)s",6875,235.3553391,115.1387819,59.71055006,1.92828205,0.641158705,697.7272727,6765.909091,675,6725,"confident","73146a7851b9bb3585faa793cc5d5b08",0.008821714,104,105,109,1,87.42466597,"<212 µm",4,1,"CRR20231207SD_2","river water","plastic","sample","Carmel","subsurface","20231207",2023-12-07,"fragment",115.1387819,59.71055006,"polyester/PET",1.38,"TODO(cite): polymer density handbook/default table","settling","settling",0.5,29.85527503,107471.274982271,148310.359475533,118218.402480498
10,"MBMS_04_07DEC23_PreDS_3of3_rt",0.637214133,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",7500,241.4213562,104.0569415,72.07592201,1.443712943,0.618415325,3387.5,9512.5,3375,9475,"confident","fa5cf75f0718982c2afbea8c86fbac56",0.006779104,115,119,120,1,88.06643175,"<212 µm",4,1,"CRR20231207SD_2","river water","plastic","sample","Carmel","subsurface","20231207",2023-12-07,"fragment",104.0569415,72.07592201,"styrenic polymers",1.05,"TODO(cite): polymer density handbook/default table","settling","settling",0.5,36.037961005,141520.741932469,148596.779029092,155672.816125716
659,"MBMS_06_07DEC23_Pst1DS_1of1_lft",0.655675352,TRUE,"polysiloxanes",1250,50,50,25,2,0.159154943,1025,637.5,1025,625,"confident","abc4c0d7f9fc64f89f91496d2074a8e0",0.007834923,51,53,52,1,37.5,"<212 µm",6,1,"CRR20231207SS_2","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fragment",50,25,"silicone polymers",1.05,"TODO(cite): polymer density handbook/default table","settling","settling",0.5,12.5,8181.23086872342,8590.29241215959,8999.35395559576
