PSD_ID,Low_size,High_size,Bin_concentration,shape_factor,dimention
W2W_river_all,50,55,232,0,3
W2W_river_all,60,65,121,0,3
W2W_river_all,70,75,98,0,3
W2W_river_all,80,85,178,0,3
W2W_river_all,95,100,70,0,3
W2W_river_all,100,105,111,0,3
W2W_river_all,115,120,49,0,3
W2W_river_all,120,125,6,0,3
W2W_river_all,125,130,34,0,3
W2W_river_all,130,135,11,0,3
W2W_river_all,135,140,36,0,3
W2W_river_all,145,150,12,0,3
W2W_river_all,150,155,9,0,3
W2W_river_all,155,160,17,0,3
W2W_river_all,165,170,6,0,3
W2W_river_all,170,175,10,0,3
W2W_river_all,175,180,10,0,3
W2W_river_all,180,185,10,0,3
W2W_river_all,185,190,5,0,3
W2W_river_all,190,195,12,0,3
W2W_river_all,195,200,1,0,3
W2W_river_all,200,205,6,0,3
W2W_river_all,205,210,10,0,3
W2W_river_all,215,220,3,0,3
W2W_river_all,220,225,2,0,3
W2W_river_all,225,230,12,0,3
W2W_river_all,230,235,6,0,3
W2W_river_all,235,240,4,0,3
W2W_river_all,240,245,4,0,3
W2W_river_all,245,250,4,0,3
W2W_river_all,250,255,4,0,3
W2W_river_all,255,260,8,0,3
W2W_river_all,260,265,4,0,3
W2W_river_all,270,275,9,0,3
W2W_river_all,275,280,5,0,3
W2W_river_all,280,285,2,0,3
W2W_river_all,285,290,3,0,3
W2W_river_all,290,295,1,0,3
W2W_river_all,295,300,2,0,3
W2W_river_all,300,305,6,0,3
W2W_river_all,310,315,4,0,3
W2W_river_all,315,320,2,0,3
W2W_river_all,325,330,2,0,3
W2W_river_all,330,335,3,0,3
W2W_river_all,340,345,2,0,3
W2W_river_all,345,350,4,0,3
W2W_river_all,350,355,3,0,3
W2W_river_all,360,365,2,0,3
W2W_river_all,365,370,2,0,3
W2W_river_all,370,375,5,0,3
W2W_river_all,375,380,2,0,3
W2W_river_all,380,385,3,0,3
W2W_river_all,385,390,1,0,3
W2W_river_all,395,400,1,0,3
W2W_river_all,405,410,1,0,3
W2W_river_all,420,425,1,0,3
W2W_river_all,425,430,2,0,3
W2W_river_all,430,435,1,0,3
W2W_river_all,435,440,2,0,3
W2W_river_all,440,445,1,0,3
W2W_river_all,445,450,1,0,3
W2W_river_all,450,455,1,0,3
W2W_river_all,455,460,2,0,3
W2W_river_all,460,465,2,0,3
W2W_river_all,475,480,2,0,3
W2W_river_all,490,495,2,0,3
W2W_river_all,505,510,1,0,3
W2W_river_all,515,520,1,0,3
W2W_river_all,555,560,1,0,3
W2W_river_all,570,575,1,0,3
W2W_river_all,575,580,1,0,3
W2W_river_all,600,605,1,0,3
W2W_river_all,605,610,2,0,3
W2W_river_all,695,700,1,0,3
W2W_river_all,780,785,1,0,3
W2W_river_all,785,790,2,0,3
W2W_river_all,830,835,1,0,3
W2W_river_all,835,840,1,0,3
W2W_river_all,855,860,1,0,3
W2W_river_all,860,865,1,0,3
W2W_river_all,940,945,1,0,3
W2W_river_all,1105,1110,1,0,3
W2W_river_all,1875,1880,1,0,3
W2W_river_all,2100,2105,1,0,3
W2W_river_fragment,50,55,232,0,3
W2W_river_fragment,60,65,121,0,3
W2W_river_fragment,70,75,39,0,3
W2W_river_fragment,80,85,175,0,3
W2W_river_fragment,95,100,50,0,3
W2W_river_fragment,100,105,103,0,3
W2W_river_fragment,115,120,46,0,3
W2W_river_fragment,120,125,5,0,3
W2W_river_fragment,125,130,28,0,3
W2W_river_fragment,130,135,11,0,3
W2W_river_fragment,135,140,32,0,3
W2W_river_fragment,145,150,11,0,3
W2W_river_fragment,150,155,7,0,3
W2W_river_fragment,155,160,13,0,3
W2W_river_fragment,165,170,5,0,3
W2W_river_fragment,170,175,8,0,3
W2W_river_fragment,175,180,7,0,3
W2W_river_fragment,180,185,8,0,3
W2W_river_fragment,185,190,4,0,3
W2W_river_fragment,190,195,9,0,3
W2W_river_fragment,195,200,1,0,3
W2W_river_fragment,200,205,4,0,3
W2W_river_fragment,205,210,7,0,3
W2W_river_fragment,215,220,3,0,3
W2W_river_fragment,225,230,5,0,3
W2W_river_fragment,230,235,5,0,3
W2W_river_fragment,235,240,3,0,3
W2W_river_fragment,240,245,2,0,3
W2W_river_fragment,255,260,3,0,3
W2W_river_fragment,260,265,1,0,3
W2W_river_fragment,270,275,4,0,3
W2W_river_fragment,275,280,3,0,3
W2W_river_fragment,280,285,1,0,3
W2W_river_fragment,285,290,2,0,3
W2W_river_fragment,295,300,1,0,3
W2W_river_fragment,300,305,2,0,3
W2W_river_fragment,310,315,2,0,3
W2W_river_fragment,315,320,1,0,3
W2W_river_fragment,325,330,1,0,3
W2W_river_fragment,330,335,1,0,3
W2W_river_fragment,340,345,1,0,3
W2W_river_fragment,345,350,1,0,3
W2W_river_fragment,350,355,3,0,3
W2W_river_fragment,375,380,1,0,3
W2W_river_fragment,380,385,1,0,3
W2W_river_fragment,385,390,1,0,3
W2W_river_fragment,420,425,1,0,3
W2W_river_fragment,455,460,1,0,3
W2W_river_fragment,460,465,1,0,3
W2W_river_fragment,505,510,1,0,3
W2W_river_fiber,75,80,59,0,1
W2W_river_fiber,80,85,3,0,1
W2W_river_fiber,95,100,20,0,1
W2W_river_fiber,100,105,8,0,1
W2W_river_fiber,115,120,3,0,1
W2W_river_fiber,120,125,1,0,1
W2W_river_fiber,125,130,6,0,1
W2W_river_fiber,135,140,4,0,1
W2W_river_fiber,145,150,1,0,1
W2W_river_fiber,150,155,2,0,1
W2W_river_fiber,155,160,4,0,1
W2W_river_fiber,165,170,1,0,1
W2W_river_fiber,170,175,2,0,1
W2W_river_fiber,175,180,3,0,1
W2W_river_fiber,180,185,2,0,1
W2W_river_fiber,185,190,1,0,1
W2W_river_fiber,190,195,3,0,1
W2W_river_fiber,200,205,2,0,1
W2W_river_fiber,205,210,3,0,1
W2W_river_fiber,220,225,2,0,1
W2W_river_fiber,225,230,7,0,1
